macro,x,y,z,name,description,source
cluster_01_macro,0.0,0.0,0.0,Grand Exchange,"Shortly before the Jump Gate shutdown, when Gates would sporadically swap between active and inactive, in some systems on a daily bases, scientists across all races began to notice a worrying number of warp anomalies across all of Grand Exchange. Before they could be properly investigated, however, the Jump Gates to the system shut down completely.\n\nWhen the Gates reopened, scientists were quick to notice anomalies reappearing, though none as intense or frequent as previously. Though many resources have been dedicated to solving the mystery, none have yet been able to work out what is causing the anomalies.",
cluster_02_macro,15000000.0,0.0,25980000.0,Eighteen Billion,"This sector is named after a financial incident caused by the famous Teladi Isemados Sibasomos Nopileos IV in Company Pride. During his studies, Nopileos programmed an AutoBroker, which made a quick profit of 18 billion Credits on the stock market. Knowing that excess profits made before he turned 16 would be taken by the Teladi Company as payment for his education, Nopileos instead donated this money to a charity supporting Boron orphans. While the charity received more Credits than the Queendom of Boron's annual budget, Nopileos was expelled for hiding money from the Teladi Company. To this day, the Teladi are still astonished by the great achievement of an underling, but similarly shocked by the altruistic use of this capital. Following in Nopileos's steps, small groups of Teladi in this sector try to live by his example.\n\nA later marketing endeavour by the Teladi Company tried to tie the sector's name to the alleged 18 billion Teladi casualties in the first great Xenon conflict. The Teladi Company still claims that the sector's name is referring to this incident.",
cluster_03_macro,30000000.0,0.0,17320000.0,Memory of Profit,"Savaged by the same incursion that saw Scale Plate Green occupied by the Xenon, Memory of Profit was once an economic stronghold of the Teladi Company, even housing the headquarters of Nividium Mining and Manufacturing Corporation (PTNI). Though Teladi and Argon forces, and even a small contingent of Split ships, desperately tried to hold both systems, PTNI Headquarters was eventually lost.\n\nWhen the Jump Gates came back on line, Teladi Scouts from Eighteen Billion quickly recognised the signs of the conflict, and when they found no trace of Xenon activity within the system, immediately set about on a recolonization effort.",
cluster_04_macro,45000000.0,0.0,-25980000.0,Nopileos' Fortune,"Named after the patron of Teladi adventurousness, this system is where a majority of the refugees from the Xenon-ravaged Scale Plate Green found their new home. Its proximity to some of the network's main trading nodes proved vital for the survival of the pilgrim community in the early days following their arduous journey. Nopileos' Fortune has since become a neutral ground between traders and adventure-seekers of all factions and races, guaranteeing a wide range of individual freedoms.\n\nIn remembrance of the terrors that had been forever ingrained in their collective memory, an unwritten agreement was struck between the various syndicates, outfits and corporations of this region: in the face of external threats, all internal conflict is to be forgotten. Though at first this pact garnered little attention from the rest of the post-realignment Community, its more recent profit-oriented amendments have certainly begun to raise concerns.",
cluster_05_macro,0.0,0.0,-17320000.0,Path to Profit,"This system was only recently discovered and charted by the Teladi Company. The company did not hesitate to send out fleets of builders to claim the system when they first came across it, even before it was properly surveyed. They did so because they feared the possibility of a potential second Gate connecting this system to another faction who would lose no time claiming this system. Despite the rather hasty rush into uncertain territory, the risk seems to have paid off and the Teladi Company have established another avenue for profit.",
cluster_06_macro,-30000000.0,0.0,0.0,Black Hole Sun,"A famous hub of technical expertise before the Jump Gate shutdown, thanks largely to the people stationed there to stop the influx of Xenon activity from neighbouring Xenon Sector 472, Black Hole Sun now enjoys an extended era of peace. Still, its people have remained busy, attempting to build a self-sufficient community in case history repeats itself.\n\nThough the system finds itself cut off from Argon Federation space by the Antigone Republic, a constant stream of supplies pours into the area, with the Federation desperate to show that no colony of theirs will be left to fend for itself.",
cluster_07_macro,-105000000.0,0.0,43300000.0,The Reach,"As one of the first never-before-seen systems that fell into the lap of the Federation during the realignment, The Reach still holds a special status in Argon history. When the connection flickered into activation, Fleet Command immediately cast its net wide in an attempt to uncover potential Jump Gates leading further into the depths of space. To facilitate this grand expansionary effort, the newly discovered system was to be transformed into a densely colonised foothold; an initiative that was selflessly supported by many of the more influential, wealthy families of Argon Prime. After an initial dispute over equitable distribution of real estate which was settled by the Federal Presidency, officially tying these entitlements to unalterable obligations as part of the colonisation process, the system saw a steady influx of settlers. However, just a few months later, the spotlight of attention shifted away from the once-promising colony. As more and more gates began to reopen, federal interest in The Reach rapidly dwindled, transforming it into the quiescent backwater system of today. To budding explorers and entrepreneurs, this new status carries with it a number of obvious benefits, most notably including an as yet comfortable distance to any military threats, which allows them to test their skills in a relatively forgiving environment. Moreover, the comparatively long period since its discovery has given the local aristocrats ample opportunity to build up a quasi-feudal power structure, turning the system into a slow and steady supplier for the local economy.",
cluster_08_macro,-15000000.0,0.0,95260000.0,Silent Witness,"Silent Witness has established itself as vitally important to galactic trade, as its ring highway is the main connection between Argon and Teladi space. Many traders frequently use the highway to ferry their wares between factions in the hopes of turning an honest profit.\n\nHowever, not everyone shares their equitable and entrepreneurial spirit. Pilots are frequently harassed by pirates, and it is not uncommon for trade ships to vanish completely. Despite calls for improved security, only parts of the system have been claimed and are actively patrolled; it is simply too big a task to weed out the criminal elements inhabiting the further reaches of the system. Ultimately, though, the risk posed by outlaws does not outweigh the convenience of travel, and potential losses are counted as an acceptable cost of doing business.",
cluster_09_macro,60000000.0,0.0,69280000.0,Bright Promise,"Although the Teladi have been increasing their presence in this system for a long time now, it has only become one of their main trading hubs after the Jump Gate realignment. Its relatively close proximity to Argon, Godrealm and Split systems offers a wealth of opportunities for trade and profits. So, it comes as no surprise that the system's promise of a bright future makes it a valuable point of entry for many newly established enterprises looking to step up and gain a foothold in the Commonwealth. Due to this situation, it has become synonymous with entrepreneurial optimism in the face of what is too often a bleak universe.",
cluster_10_macro,75000000.0,0.0,-8660000.0,Unholy Retribution,"The Paranid priests of this sector accused its early colonists of not adhering to key tenets of the Paranid religion. These accusations were accompanied by severe punishments to the point where the colonists fought back and, in what became known as the Unholy Retribution, killed all of their priests. This uprising was not tolerated by the Paranid, and the rebels, despite defending their new homeland with all the ships they could muster, were defeated. While the Paranid officially claimed that there were no rebel survivors, a small Paranid task force still catalogues genetic markers in this area to identify descendants of the heretics and trace heretic cells.",
cluster_11_macro,-30000000.0,0.0,-69280000.0,Pontifex's Claim,"Though the Holy Order of the Pontifex does not yet have an officially recognised capital, it was from Pontifex's Claim that the Pontifex Maximus Haereticus (name not supported by Holy Order) was hatched and so has been claimed as the Order's capital once the Paranid Civil War has been concluded.\n\nA system only discovered in the surge of sporadic Jump Gate activity before the Jump Gate shutdown, Pontifex's Claim only has Paranid colonies on parts of the single planet in system, though word has it that the Order is attempting to colonise it further.",
